from,to,weight
Platzeck,11,3
Pofalla,9,3
Pofalla,2,3
Praetorius,7,3
Tillich,9,3
"Hasselfeldt
",1,3
"Hasselfeldt
",2,2
"Kampeter
",2,2
"Kampeter
",9,2
Kapferer,1,2
Kapferer,6,2
Kempf,5,2
Nemat,5,1
Reiche,2,1
Reiche,6,1
Roestel,12,2
Roestel,6,2
Schweitzer,5,2
Grothus,4,1
Wodtke,9,1
Wodtke,4,1
Herntier,5,1
Herntier,1,1
Kreuzberg,9,1
Priggen,4,1
Priggen,12,1
Vassiliadis,11,3
Vassiliadis,5,3
Scheidt,3,2
Scheidt,11,2
Koerzell,3,3
Koerzell,11,3
Kaiser,4,1
Weiger,4,3
Niebert,7,1
Niebert,4,1
Allmendinger,7,1
Matthes,7,1
Schellnhuber,4,2
Schellnhuber,7,2
Niebuhr,7,1
Wehrspohn,7,2
Laemmel,8,1
Laemmel,9,1
Lenz,10,1
Miersch,11,1
Miersch,8,1